epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1669.22,0.8496,0.2824,0.26795,0.61224,1.43297,0.8897,0.83333,0.8556,0.62368,0.84972,0.94249,0.92047,0.87467,1.18132,0.35147,0.38085,0.90663,2.18287,0.0006338,0.0006338,0.0006338
71,1687.85,0.74411,0.3257,0.24244,0.57626,1.37342,0.87018,0.83333,0.85935,0.62963,0.84913,0.93834,0.9352,0.87367,1.14823,0.35216,0.38527,0.89801,2.14744,0.000614,0.000614,0.000614
72,1710.89,0.74214,0.22216,0.24608,0.57874,1.40361,0.92503,0.83333,0.85375,0.62079,0.93162,0.88889,0.93943,0.88453,1.04191,0.32138,0.33553,0.84372,2.05943,0.0005942,0.0005942,0.0005942
73,1730.45,0.7697,0.22998,0.27807,0.56158,1.40581,0.92056,0.83333,0.84185,0.59498,0.93197,0.88889,0.92797,0.86942,0.99019,0.28549,0.31093,0.82585,2.02987,0.0005744,0.0005744,0.0005744
74,1751.12,0.78473,0.28824,0.27656,0.60057,1.43263,0.90882,0.83333,0.85569,0.60492,0.93308,0.88889,0.92649,0.86995,0.99075,0.29899,0.32649,0.84718,2.02453,0.0005546,0.0005546,0.0005546
75,1769.43,0.79876,0.22238,0.26318,0.593,1.4041,0.91233,0.83333,0.85063,0.633,0.88487,0.94444,0.91828,0.87392,0.9467,0.34321,0.37723,0.80394,1.94798,0.0005348,0.0005348,0.0005348
76,1787.62,0.68689,0.17448,0.23289,0.51339,1.27513,0.92154,0.83333,0.85395,0.6439,0.8795,0.94444,0.92588,0.88234,0.95822,0.35072,0.38692,0.81328,1.94085,0.000515,0.000515,0.000515
77,1806.2,0.7523,0.19286,0.2502,0.5495,1.40671,0.93665,0.83333,0.83333,0.62687,0.89439,0.9412,0.92326,0.87183,0.95081,0.34509,0.41497,0.82448,1.92592,0.0004952,0.0004952,0.0004952
78,1825.75,0.70507,0.17059,0.22837,0.51956,1.33059,0.93584,0.8112,0.83636,0.62927,0.89438,0.94444,0.91799,0.88249,0.94473,0.3258,0.42313,0.83414,1.93342,0.0004754,0.0004754,0.0004754
79,1844.06,0.73607,0.20705,0.23242,0.56308,1.35528,0.8883,0.77778,0.82794,0.61896,0.84314,0.94444,0.90959,0.8664,0.98846,0.33597,0.41679,0.85859,1.95619,0.0004556,0.0004556,0.0004556
80,1862.77,0.7676,0.18659,0.20468,0.54186,1.40567,0.92944,0.77778,0.81633,0.59697,0.84088,0.94444,0.90226,0.8651,1.0552,0.33701,0.37447,0.89076,1.95781,0.0004358,0.0004358,0.0004358
81,1884.3,0.7316,0.229,0.25973,0.55813,1.37444,0.93721,0.82945,0.81665,0.58034,0.92033,0.88889,0.9141,0.87081,1.12581,0.35095,0.33149,0.88161,1.92712,0.000416,0.000416,0.000416
82,1903.15,0.72228,0.18986,0.2366,0.52603,1.35707,0.92927,0.73038,0.80275,0.56374,0.89415,0.88889,0.91078,0.8652,1.15536,0.3512,0.2935,0.91275,1.92566,0.0003962,0.0003962,0.0003962
83,1922.06,0.70832,0.21319,0.19343,0.53803,1.36273,0.89637,0.72222,0.78013,0.58206,0.90359,0.88889,0.90959,0.86597,1.0974,0.34829,0.26764,0.87249,1.90782,0.0003764,0.0003764,0.0003764
84,1942.56,0.68954,0.26822,0.22251,0.49622,1.27843,0.90484,0.83333,0.80905,0.60993,0.89852,0.88889,0.90921,0.8559,1.06277,0.33987,0.26187,0.85416,1.89459,0.0003566,0.0003566,0.0003566
85,1961.98,0.607,0.2179,0.18988,0.47037,1.20412,0.88043,0.83333,0.83,0.62011,0.93302,0.88889,0.91839,0.86125,1.02276,0.32857,0.24821,0.89465,1.87643,0.0003368,0.0003368,0.0003368
86,1980.5,0.69723,0.28222,0.19681,0.50611,1.33431,0.88013,0.83333,0.82625,0.6147,0.88004,0.94444,0.91294,0.8485,1.01426,0.3204,0.24753,0.85707,1.89863,0.000317,0.000317,0.000317
87,2002.62,0.73079,0.17518,0.20067,0.50389,1.3271,0.84006,0.88889,0.83211,0.62123,0.94436,0.94292,0.92139,0.86271,0.9509,0.29133,0.2489,0.85038,1.84691,0.0002972,0.0002972,0.0002972
88,2023.81,0.62369,0.18082,0.17998,0.47116,1.21013,0.88426,0.83333,0.83211,0.63493,0.9424,0.94444,0.92139,0.86215,0.93152,0.30708,0.25144,0.83472,1.82831,0.0002774,0.0002774,0.0002774
89,2048.5,0.64054,0.17641,0.19967,0.4861,1.26123,0.88801,0.83333,0.83,0.63021,0.94417,0.93975,0.92084,0.86185,0.90327,0.29569,0.23219,0.82472,1.7872,0.0002576,0.0002576,0.0002576
90,2068.62,0.62898,0.19483,0.21482,0.48176,1.25875,0.89481,0.83333,0.82077,0.63906,0.89458,0.94299,0.91534,0.85678,0.90812,0.32083,0.2414,0.8468,1.79245,0.0002378,0.0002378,0.0002378
91,2087.53,0.68726,0.23208,0.29261,0.46852,1.4066,0.88217,0.83333,0.80375,0.65773,0.93045,0.88889,0.92063,0.87872,0.92796,0.32479,0.24996,0.90222,1.81196,0.000218,0.000218,0.000218
92,2106.28,0.63725,0.22378,0.27824,0.42938,1.38073,0.8814,0.83333,0.80375,0.65656,0.93077,0.88889,0.92726,0.87938,0.93173,0.32378,0.28289,0.9235,1.81976,0.0001982,0.0001982,0.0001982
93,2127.1,0.65529,0.27918,0.21489,0.42623,1.44466,0.87833,0.83333,0.8,0.64457,0.92386,0.88889,0.92583,0.87203,0.93638,0.35887,0.32593,0.90734,1.81617,0.0001784,0.0001784,0.0001784
94,2146.2,0.57386,0.1752,0.20298,0.4053,1.34145,0.87661,0.83333,0.79688,0.6499,0.92216,0.88889,0.92621,0.85223,0.9397,0.35005,0.34962,0.89628,1.82054,0.0001586,0.0001586,0.0001586
95,2164.79,0.60025,0.18702,0.19804,0.41562,1.29959,0.87643,0.78862,0.79861,0.62889,0.89419,0.94444,0.92941,0.85711,0.96032,0.34794,0.36556,0.92591,1.8418,0.0001388,0.0001388,0.0001388
96,2191.21,0.58489,0.17624,0.22552,0.40911,1.35453,0.86685,0.83333,0.80194,0.6312,0.94362,0.94444,0.93482,0.87575,0.97324,0.34364,0.3722,0.92468,1.84531,0.000119,0.000119,0.000119
97,2211.38,0.52237,0.2076,0.19164,0.38856,1.27963,0.86699,0.83333,0.80594,0.65371,0.94427,0.94145,0.93559,0.88341,0.97201,0.34434,0.34175,0.90918,1.84355,9.92e-05,9.92e-05,9.92e-05
98,2235.46,0.61022,0.22492,0.25065,0.39583,1.34718,0.86845,0.83333,0.80594,0.65047,0.94425,0.9411,0.93389,0.88224,0.9685,0.34464,0.30808,0.87474,1.84126,7.94e-05,7.94e-05,7.94e-05
99,2260.37,0.56834,0.25701,0.17178,0.40554,1.29702,0.87675,0.83333,0.81063,0.64346,0.94378,0.93308,0.93066,0.87803,0.93388,0.30354,0.25274,0.83349,1.85135,5.96e-05,5.96e-05,5.96e-05
100,2282.23,0.63454,0.20312,0.17462,0.4326,1.41219,0.86794,0.83333,0.80594,0.64811,0.94358,0.92977,0.92938,0.87584,0.93113,0.30231,0.24254,0.83477,1.84535,3.98e-05,3.98e-05,3.98e-05
